Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GCN seed=100,0.9909114472287021,0.9911414756701118,0.9700854700854701,0.9637305699481865,0.9383136646568981
Diff_DTA_GCN seed=1000,0.9929432028160299,0.9932520739715206,0.9658119658119658,0.9586206896551724,0.9295111098733942
Diff_DTA_GCN seed=2000,0.9914883654818939,0.9920612966654956,0.9729344729344729,0.9672977624784853,0.9442156796702925
Diff_DTA_GCN seed=3000,0.9914800043477898,0.9918272638204398,0.9700854700854701,0.9637305699481865,0.9383136646568981
Diff_DTA_GCN seed=4000,0.9892810260783773,0.9896198622596841,0.9629629629629629,0.9553264604810997,0.9236962901647979
Diff_DTA_GCN seed=5000,0.9888796916413742,0.9893319475997927,0.9686609686609686,0.9618055555555555,0.9353862972157462
Diff_DTA_GCN seed=6000,0.9907943913512429,0.988918984563244,0.9643874643874644,0.9571183533447685,0.9266718232679806
Diff_DTA_GCN seed=7000,0.9911037533130994,0.9909668724251081,0.9629629629629629,0.9554794520547946,0.9237886527698018
Diff_DTA_GCN seed=8000,0.991814449711959,0.9918130781477598,0.9686609686609686,0.9615384615384615,0.9355168215098101
Diff_DTA_GCN seed=9000,0.9920067557963561,0.9923347366635977,0.9658119658119658,0.9587628865979382,0.9295658063059673
