Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_GAT seed=100,0.9786000421674047,0.977720033758797,0.9451827242524917,0.9411764705882354,0.8899019019173396
Diff_DTA_GAT seed=1000,0.9797152590521211,0.9795635950246633,0.9435215946843853,0.9386281588447652,0.8864047874757102
Diff_DTA_GAT seed=2000,0.9773405683722272,0.9694207658661511,0.9485049833887044,0.9443447037701974,0.8964365473872802
Diff_DTA_GAT seed=3000,0.9735676953294051,0.9697390427055611,0.9352159468438538,0.9302325581395349,0.8697726524203587
Diff_DTA_GAT seed=4000,0.9790050711852369,0.9778521181059682,0.9385382059800664,0.9342806394316163,0.876688849243271
Diff_DTA_GAT seed=5000,0.9773183750013871,0.9754237451380801,0.9418604651162791,0.9369369369369369,0.883055136743484
Diff_DTA_GAT seed=6000,0.9812965367244805,0.9820029029562061,0.9451827242524917,0.94010889292196,0.8898320254313002
Diff_DTA_GAT seed=7000,0.9767746374158038,0.9704357214760657,0.9401993355481728,0.9366197183098591,0.8805380722142423
Diff_DTA_GAT seed=8000,0.9792325532363483,0.9765499968035134,0.946843853820598,0.9428571428571428,0.8931887968790012
Diff_DTA_GAT seed=9000,0.9760921912624699,0.9729006573454595,0.9302325581395349,0.9263157894736843,0.8608131602777892
