Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_SAGE seed=100,0.9916723104321871,0.9921474460155286,0.9729344729344729,0.9670710571923744,0.9442015490915688
Diff_DTA_SAGE seed=1000,0.9877049522997298,0.9851422728405564,0.9643874643874644,0.9571183533447685,0.9266718232679806
Diff_DTA_SAGE seed=2000,0.9891556090668139,0.9889601083097885,0.9643874643874644,0.9565217391304347,0.9265694125096458
Diff_DTA_SAGE seed=3000,0.9910870310448909,0.9910960298962699,0.9629629629629629,0.9553264604810997,0.9236962901647979
Diff_DTA_SAGE seed=4000,0.9883403984916515,0.9885799390797759,0.9686609686609686,0.9618055555555555,0.9353862972157462
Diff_DTA_SAGE seed=5000,0.990321987274354,0.9901310449011189,0.9672364672364673,0.9604130808950087,0.9324707047052251
Diff_DTA_SAGE seed=6000,0.9903345289755102,0.9913178697115731,0.9686609686609686,0.9621993127147767,0.9354353224471367
Diff_DTA_SAGE seed=7000,0.9919147833212096,0.9923057885594521,0.9715099715099715,0.9653979238754327,0.9412519376918919
Diff_DTA_SAGE seed=8000,0.9891556090668139,0.9877405486661659,0.9729344729344729,0.9672977624784853,0.9442156796702925
Diff_DTA_SAGE seed=9000,0.9902634593356242,0.9879638290310211,0.9643874643874644,0.9565217391304347,0.9265694125096458
