Setting,AUROC/AUC,AUPRC/AUPR,Accuracy,F1,MCC
Diff_DTA_SAGE seed=100,0.981390858550551,0.9820117051859586,0.9485049833887044,0.9445438282647585,0.8964870981732698
Diff_DTA_SAGE seed=1000,0.9770354095231754,0.9738590914626849,0.9368770764119602,0.9309090909090909,0.8731407320392579
Diff_DTA_SAGE seed=2000,0.9759923210936893,0.9778659156961512,0.9401993355481728,0.9347826086956522,0.879757133282816
Diff_DTA_SAGE seed=3000,0.9797152590521211,0.9765909263386393,0.9352159468438538,0.9302325581395349,0.8697726524203587
Diff_DTA_SAGE seed=4000,0.977296181630547,0.9757737323109847,0.9318936877076412,0.925589836660617,0.863058121679725
Diff_DTA_SAGE seed=5000,0.9794544869447496,0.9765516884610822,0.9435215946843853,0.9390681003584229,0.8864365214110546
Diff_DTA_SAGE seed=6000,0.9790328128987872,0.9782720838874167,0.9418604651162791,0.9364791288566243,0.8831385494934064
Diff_DTA_SAGE seed=7000,0.9811689248421496,0.9788006618464191,0.9302325581395349,0.9265734265734265,0.8611291221134941
Diff_DTA_SAGE seed=8000,0.9837821942585749,0.982563276486791,0.9435215946843853,0.9399293286219081,0.8869733537622225
Diff_DTA_SAGE seed=9000,0.9751045862600841,0.973143938676859,0.9318936877076412,0.926391382405745,0.8630271817338243
